step=0, lr=0.001, loss=645.9053179494854, rmse_e=0.7957358992601856, rmse_f=0.8021682160469104, speed=0.03939676284790039 s/100 batches
step=100, lr=0.001, loss=203.86830354589245, rmse_e=0.17880925282947002, rmse_f=0.451381798695722, speed=3.5800702571868896 s/100 batches
step=200, lr=0.001, loss=58.464409918052624, rmse_e=0.1592654406628773, rmse_f=0.24159264573966577, speed=3.262967109680176 s/100 batches
step=300, lr=0.001, loss=42.22104055869647, rmse_e=0.04589005502951973, rmse_f=0.205457912755579, speed=3.380600690841675 s/100 batches
step=400, lr=0.001, loss=41.45861296897474, rmse_e=0.03349833791670225, rmse_f=0.20360330045633676, speed=3.275118350982666 s/100 batches
step=500, lr=0.001, loss=31.85828131351385, rmse_e=0.0055666771687993164, rmse_f=0.17848854954870844, speed=3.270927906036377 s/100 batches
step=600, lr=0.001, loss=59.27579868105202, rmse_e=0.04814359474929067, rmse_f=0.24344793757058242, speed=3.2617952823638916 s/100 batches
step=700, lr=0.001, loss=41.5193250642222, rmse_e=0.019312667827814187, rmse_f=0.2037593993522079, speed=3.2971692085266113 s/100 batches
step=800, lr=0.001, loss=30.62112397343586, rmse_e=0.01735419082769607, rmse_f=0.17498562080520638, speed=3.381071090698242 s/100 batches
step=900, lr=0.001, loss=27.03557714845704, rmse_e=0.01209582127114147, rmse_f=0.16442328096205733, speed=3.140916347503662 s/100 batches
step=1000, lr=0.001, loss=25.200245241206023, rmse_e=0.0267487441947425, rmse_f=0.15873719708774778, speed=3.1390421390533447 s/100 batches
